Время,Имя пользователя,Сообщение
2024-08-02 13:02:02,wht_trc,
2024-08-02 11:54:48,Неизвестный,"Hi, I have created a dataset on Inequality in Education around the World. If you have time, then check this out:

https://www.kaggle.com/datasets/iamsouravbanerjee/inequality-in-education-around-the-world"
2024-08-02 11:30:12,ashif_ansari86,anybody have heart diease data set
2024-08-02 11:29:21,ashif_ansari86,
2024-08-02 06:49:11,Неизвестный,done
2024-08-02 02:43:44,Неизвестный,Done all
2024-08-01 23:30:10,ArashMirhaji,"https://www.kaggle.com/code/heidarmirhajisadati/integrating-cryptocurrencies-and-blockchain-techno

https://www.kaggle.com/code/heidarmirhajisadati/mutual-funds-performance-analysis-and-evaluation

https://www.kaggle.com/code/heidarmirhajisadati/loan-credit-prediction-model

Hello all 💫

Could you upvote please my dear friend 😉✅🙏"
2024-08-01 23:23:38,ArashMirhaji,Done and commented ✅
2024-08-01 23:22:16,ArashMirhaji,Done and commented ✅
2024-08-01 23:21:42,ArashMirhaji,Done and commented ✅
2024-08-01 22:48:05,saab_abdi,"Hello
Please support to make my code silver
Thank you in advance and good luck

https://www.kaggle.com/code/saharabdi/close-column-prediction-with-lstm-stock-market"
2024-08-01 15:24:28,Sarametawea,https://www.kaggle.com/code/sarametawea/test-scores-gradient-decent
2024-08-01 15:15:12,AhmedWaleed9050,https://www.kaggle.com/code/ahmedwaleed1903/who-is-the-most-powerful please upvote this
2024-08-01 15:14:31,AhmedWaleed9050,
2024-08-01 11:36:26,redshoot8,
2024-08-01 10:11:58,Vk142004,"Hi everyone, 
does anybody has lidar and thermal dataset of a single picture"
2024-08-01 09:02:45,Sandeeplovek24,
2024-08-01 07:59:16,Неизвестный,"Hello everyone,
I am working on llmgraphtransformer I am working on it and stuck at a point . Can anyone guide me to come out isuue."
2024-08-01 07:56:31,Неизвестный,
2024-08-01 04:24:35,badhautiyaG,
2024-07-31 22:12:08,ArashMirhaji,"https://www.kaggle.com/code/heidarmirhajisadati/email-phishing-detection-in-financial-banking

https://www.kaggle.com/code/heidarmirhajisadati/mutual-funds-performance-analysis-and-evaluation

https://www.kaggle.com/code/heidarmirhajisadati/integrating-cryptocurrencies-and-blockchain-techno

Hello all 💫

Could you upvote please my dear friend 😉✅🙏"
2024-07-31 22:10:23,ArashMirhaji,Done ✅
2024-07-31 20:13:44,Неизвестный,"Hello 👋

Could you upvote please my dear friend 🙏

https://www.kaggle.com/code/mehmetisik/airbnb-nyc-eda-price-prediction-ml

https://www.kaggle.com/code/mehmetisik/regularization-practice-for-beginners-house-price

https://www.kaggle.com/code/mehmetisik/item-based-collaborative-filtering

https://www.kaggle.com/code/mehmetisik/regression-practice-for-beginners-housing-price"
2024-07-31 17:19:47,sayanSRK,"Checkout my latest Dataset.. 

https://www.kaggle.com/datasets/sayankr007/cyber-bullying-data-for-multi-label-classification"
2024-07-31 16:57:41,suvradeepp,"Hey i am really close to get gold in these notebooks so kindly upvote and some suggestions for future improvement :)

https://www.kaggle.com/code/suvroo/complete-nlp-pipeline

https://www.kaggle.com/code/suvroo/xgb-indian-metropolitian-city-rent-prediction

https://www.kaggle.com/code/suvroo/automl-and-autoeda-using-h20-tpot-and-more"
2024-07-31 13:44:16,nmo513,"Please upvote 

https://www.kaggle.com/code/getanmolgupta01/pss4e7-xgb-cb-lgbm-voting"
2024-07-31 13:19:58,Akshayvdalvi,"Need help!
As part of application system architecture diagrams automation, want to use mermaid and python. 
Has anyone used mermaid with python for creating diagrams?"
2024-07-31 11:55:06,Ar4245,
2024-07-31 11:49:25,Неизвестный,
2024-07-31 09:24:59,Неизвестный,done
